artist_name,track_name,track_id,album_name,album_id,release_date,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
Nathaniel Bassey,Hungry for You,4FjJXpLRpqmZt26AfTMMQo,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,453831,29,False,0.37,0.399,9,-9.32,0,0.0429,0.505,4.6e-05,0.138,0.1,78.946,4,[]
Nathaniel Bassey,No Other God (feat. Lovesong),71PLBLeiXRBW4Y2S0xsQgg,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,341068,30,False,0.552,0.343,3,-7.598,1,0.0326,0.86,0.0,0.0656,0.281,109.834,4,['Love Song']
Nathaniel Bassey,Thank You Lord,6rLl6FmJdQQTRoXdJw1nLh,The King Is Coming,1zi8tByoRTWt088vDbI6OG,2019-11-29,312355,29,False,0.7,0.0798,8,-16.348,1,0.0512,0.711,0.0,0.142,0.298,126.067,4,[]
Nathaniel Bassey,Elshaddai (feat. Olumide Iyun),1O9xngNP5ElIsUqyQIntsI,Revival Flames,3ouj0BXXkGizxWYTtcPK3y,2017-05-08,299442,29,False,0.417,0.298,2,-8.22,1,0.0295,0.796,0.0,0.0849,0.157,109.979,4,['Olumide Iyun']
Nathaniel Bassey,He Has Prevailed,7Lwqo1exdYeCjzM33SJpCe,The King Is Coming,1zi8tByoRTWt088vDbI6OG,2019-11-29,420841,29,False,0.412,0.525,3,-5.602,1,0.029,0.38,9.75e-05,0.394,0.106,115.762,4,['ESE CHEKWA']
Nathaniel Bassey,Oh Jehovah,0xnYO0vnTFItlU7kNAPygD,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,231549,30,False,0.489,0.219,5,-7.967,1,0.0296,0.904,0.0,0.0881,0.249,70.365,4,[]
Nathaniel Bassey,Incredible Love (feat. Chris Morgan & Simpa Adaba),6FfULQbBi21vftYz7W8ZeH,Revival Flames,3ouj0BXXkGizxWYTtcPK3y,2017-05-08,346880,28,False,0.585,0.741,1,-5.419,1,0.0453,0.525,1.26e-06,0.313,0.576,155.899,4,"['Chris Morgan', 'Simpa Adaba']"
Nathaniel Bassey,What a Saviour,5FqZEDZ2z710F4mNAw2kw6,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,630864,29,False,0.368,0.568,8,-7.354,1,0.0372,0.024,0.000322,0.107,0.197,151.954,4,[]
Nathaniel Bassey,Someone's At The Door,2AU3VJhOLMxHwalHgKtybQ,Someone's At The Door,7tmA7AWF5AsD8s74QnFmeL,2017-04-07,273789,28,False,0.615,0.296,7,-9.93,1,0.0359,0.546,0.0,0.0784,0.17,125.181,4,[]
Nathaniel Bassey,Onise Iyanu,6q5QFeGYL9fhmH9Qf0Yl3Z,Green Worship 3.0,26kQCGzw6LlMysgvoyLwAw,2020-09-19,275885,29,False,0.619,0.634,7,-6.484,1,0.031,0.0782,0.0,0.437,0.279,80.041,4,[]
