artist_name,track_name,track_id,album_name,album_id,release_date,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,release_type,duration,release_day,release_month,release_year
Nathaniel Bassey,Holy Spirit Come,3X6pMwuWBlfqJ6Ac9J50Ox,Someone's At The Door,7tmA7AWF5AsD8s74QnFmeL,2017-04-07,0 days 00:04:19.605000,19,False,0.212,0.106,A#/Bb,-18.348,Major,0.0368,0.923,1.03e-05,0.101,0.126,170.631,3,,Album,04:19,Friday,April,2017
Nathaniel Bassey,Intro (Doxology: Praise God from Whom All Blessings Flow),2xXhzrL40V6KSDAdvfHPHc,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,0 days 00:02:15.320000,21,False,0.182,0.67,A#/Bb,-5.428,Major,0.0371,0.159,0.116,0.35,0.28,79.631,4,,Album,02:15,Sunday,December,2018
Nathaniel Bassey,Holy Is Your Name,3RtA7NMmZ7p2JoUhmVhcT6,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,0 days 00:05:15.573000,18,False,0.27,0.419,C,-7.469,Major,0.0305,0.387,0.0,0.327,0.13,127.468,4,Kikelomo Mudiaga,Album,05:15,Sunday,December,2018
Nathaniel Bassey,This Is Who I Am,5hjtvtKOWWzLYqEnLVUJmE,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,0 days 00:02:42.480000,18,False,0.538,0.133,A#/Bb,-10.801,Major,0.059,0.882,0.0,0.193,0.335,56.524,4,,Album,02:42,Sunday,December,2018
Nathaniel Bassey,Let My Life,0vZ0EXWmGfd3eKDU1QpYiV,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,0 days 00:05:07.840000,18,False,0.56,0.472,G,-7.189,Major,0.0401,0.335,7.64e-06,0.348,0.267,140.307,4,Chris Delvan,Album,05:07,Sunday,December,2018
Nathaniel Bassey,Kore Enye Fonde (For He Is Good),0y3z0KqkGqVI8LLTdB6Nup,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,0 days 00:05:25.573000,18,False,0.258,0.502,C,-5.246,Major,0.0288,0.592,0.0,0.107,0.228,139.475,4,Eno Michael,Album,05:25,Sunday,December,2018
Nathaniel Bassey,When I Met Jesus (The Call),2AKdHuzUwrtTmS3jPlkHM7,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,0 days 00:04:19.613000,18,False,0.354,0.228,G,-12.789,Major,0.032,0.6,0.000221,0.132,0.329,94.301,4,,Album,04:19,Sunday,December,2018
Nathaniel Bassey,Who Compares,2pc2BWZzvZvQ7SMxr5pDDW,God of Love,2T2gLRnY1ylgkEWaEVuL1H,2013-12-01,0 days 00:04:41.840000,17,False,0.573,0.581,D,-8.849,Major,0.039,0.226,0.0,0.173,0.439,152.049,4,Love Song,EP,04:41,Sunday,December,2013
Nathaniel Bassey,You Are Holy,3SBHK8iUSvnpQaSExvaQzw,Someone's At The Door,7tmA7AWF5AsD8s74QnFmeL,2017-04-07,0 days 00:05:41.342000,16,False,0.588,0.407,C,-8.029,Major,0.0296,0.508,0.0,0.0782,0.248,117.964,4,,Album,05:41,Friday,April,2017
Nathaniel Bassey,I Believe In You,1tdxHlXDjuCm2PgI1NTHRv,Someone's At The Door,7tmA7AWF5AsD8s74QnFmeL,2017-04-07,0 days 00:03:26.785000,18,False,0.238,0.0838,F,-14.268,Major,0.0384,0.946,2.43e-05,0.128,0.413,78.196,3,,Album,03:26,Friday,April,2017
